mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
EISAI,2019,Biomedical,JPN,Japan,NLD,Netherlands,4876649.455,24588.14851,NA,8,NA,NA,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,ESP,Spain,83534136.55,7917383.821,893369.396,77,NA,1975247.93,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,ITA,Italy,43807884.6,2434226.703,NA,84,NA,1934267.683,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,CHE,Switzerland,7491189.247,49176.29702,-57372.34653,14,NA,16392.09901,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,SWE,Sweden,16523235.8,1704778.297,213097.2871,1,NA,377018.2772,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,NOR,Norway,483566.9207,16392.09901,8196.049504,2,NA,8196.049504,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,DNK,Denmark,1278583.723,57372.34653,8196.049504,6,NA,8196.049504,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,FIN,Finland,999918.0395,40980.24752,8196.049504,5,NA,8196.049504,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,PRT,Portugal,4343906.237,270469.6336,40980.24752,15,NA,131136.7921,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,BEL,Belgium,6130645.029,327841.9802,NA,12,NA,NA,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,AUT,Austria,12564543.89,1721170.396,122940.7426,14,NA,426194.5742,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,CZE,Czechia,3163675.109,24588.14851,16392.09901,9,NA,NA,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,SVK,Slovakia,1516269.158,8196.049504,NA,2,NA,NA,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,RUS,Russia,38037865.75,2647323.99,1352348.168,77,NA,614703.7128,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,AUS,Australia,10753216.95,6237193.673,NA,29,NA,90156.54455,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,NZL,New Zealand,NA,-40980.24752,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,CHN,China,700958937.8,107384640.6,37234652.9,2087,NA,30997459.22,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,HKG,Hong Kong,15343004.67,1401524.465,172117.0396,15,NA,229489.3861,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,KOR,South Korea,159363986.6,23416113.43,6860093.435,181,NA,5507745.267,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,TWN,Taiwan,55520039.34,1614621.752,1958855.831,92,NA,803212.8514,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,SGP,Singapore,61814605.36,1827719.039,229489.3861,23,NA,262273.5841,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,IDN,Indonesia,19940988.44,4122612.901,1114662.733,302,NA,1122858.782,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,THA,Thailand,63814441.44,5827391.197,1360544.218,164,NA,1385132.366,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,MYS,Malaysia,11458077.21,1745758.544,352430.1287,43,NA,524547.1683,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,PHL,Philippines,9761494.959,2122776.822,803212.8514,108,NA,770428.6534,NA,NA,NA,NA,EUR
EISAI,2019,Biomedical,JPN,Japan,IND,India,82665355.3,14179165.64,2221129.416,576,NA,1958855.831,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,JPN,Japan,3498867460,88346327.45,77365613.46,4612,NA,33106278.21,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,USA,United States of America,1860968404,58621255.64,-2027082.478,1782,NA,7492819.04,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,CAN,Canada,17628231.43,-1272055.806,NA,38,NA,NA,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,MEX,Mexico,4021337.71,73861.30488,NA,18,NA,NA,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,BRA,Brazil,1173574.066,-57447.68158,NA,2,NA,NA,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,GBR,United Kingdom,534476815.8,10890439.06,5465736.561,551,NA,-828887.977,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,IRL,Ireland,4587607.714,1485432.909,139515.7981,2,NA,188756.668,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,DEU,Germany,67345096.43,6622897.005,2232252.77,117,NA,2322527.698,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,FRA,France,75404185.47,10832991.38,4456298.728,118,NA,3931062.782,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,NLD,Netherlands,5720147.723,229790.7263,41034.05827,8,NA,41034.05827,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,ESP,Spain,78399671.73,6860894.542,2642593.352,81,NA,1748050.882,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,ITA,Italy,49815346.74,4037751.334,3093967.993,89,NA,2306114.075,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,CHE,Switzerland,7115305.704,180549.8564,131308.9865,14,NA,98481.73984,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,SWE,Sweden,18621255.64,533442.7575,492408.6992,3,NA,114895.3632,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,NOR,Norway,295445.2195,8206.811654,8206.811654,1,NA,0,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,DNK,Denmark,1025851.457,41034.05827,16413.62331,5,NA,8206.811654,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,FIN,Finland,804267.5421,32827.24661,16413.62331,5,NA,8206.811654,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,PRT,Portugal,4538366.844,352892.9011,106688.5515,15,NA,106688.5515,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,BEL,Belgium,6393106.278,131308.9865,0,10,NA,0,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,AUT,Austria,10791957.32,1395157.981,-16413.62331,14,NA,336479.2778,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,CZE,Czechia,3537135.823,32827.24661,57447.68158,9,NA,0,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,SVK,Slovakia,1551087.403,8206.811654,0,2,NA,0,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,RUS,Russia,35995075.91,4177267.132,467788.2643,91,NA,984817.3984,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,AUS,Australia,11711120.23,993024.2101,131308.9865,30,NA,270824.7846,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,NZL,New Zealand,NA,-517029.1342,NA,1,NA,NA,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,CHN,China,775863766.9,95527287.65,30201066.89,2060,NA,35338530.98,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,HKG,Hong Kong,14599917.93,1173574.066,262617.9729,13,NA,213377.103,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,KOR,South Korea,168190398,18366844.48,5194911.777,181,NA,4390644.235,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,TWN,Taiwan,66754205.99,3545342.634,1083299.138,95,NA,1986048.42,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,SGP,Singapore,9560935.577,984817.3984,270824.7846,25,NA,131308.9865,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,IDN,Indonesia,16298727.94,2051702.913,393926.9594,302,NA,385720.1477,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,THA,Thailand,67517439.47,7386130.488,1362330.735,166,NA,1772671.317,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,MYS,Malaysia,11752154.29,1452605.663,517029.1342,40,NA,377513.3361,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,PHL,Philippines,8173984.407,1395157.981,517029.1342,107,NA,131308.9865,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,IND,India,59844070.58,6081247.435,3282724.661,629,NA,1936807.55,NA,NA,NA,NA,EUR
EISAI,2020,Biomedical,JPN,Japan,VNM,Viet Nam,0,-114895.3632,NA,1,NA,NA,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,JPN,Japan,4081182630,19972282.11,2048044.349,4591,NA,37811826.3,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,USA,United States of America,2382352941,259955343.4,-4681244.225,1921,NA,14890668.31,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,CAN,Canada,19464120.73,-6667693.255,NA,61,NA,NA,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,MEX,Mexico,6844779.797,284878.3492,NA,17,NA,NA,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,BRA,Brazil,1362796.427,200184.786,NA,2,NA,NA,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,GBR,United Kingdom,718224514.9,30089313.21,2902679.396,603,NA,8192177.395,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,IRL,Ireland,469664.3055,23098.24453,0,2,NA,0,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,DEU,Germany,68694179.24,3895903.911,-192485.3711,98,NA,1416692.331,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,FRA,France,68216815.52,8438558.67,3141361.257,117,NA,3010471.204,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,NLD,Netherlands,5705266.4,354173.0828,30797.65938,7,NA,61595.31876,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,ESP,Spain,62781028.64,3780412.689,-7699.414844,84,NA,923929.7813,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,ITA,Italy,58969818.29,3741915.614,3279950.724,88,NA,192485.3711,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,CHE,Switzerland,9655066.215,546658.454,107791.8078,8,NA,130890.0524,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,SWE,Sweden,16777024.95,808438.5587,423467.8164,2,NA,161687.7117,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,NOR,Norway,323375.4235,0,-7699.414844,1,NA,0,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,DNK,Denmark,1008623.345,15398.82969,-7699.414844,5,NA,7699.414844,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,FIN,Finland,1031721.589,15398.82969,-7699.414844,6,NA,15398.82969,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,PRT,Portugal,6044040.653,323375.4235,200184.786,15,NA,123190.6375,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,BEL,Belgium,7776408.993,531259.6243,0,12,NA,7699.414844,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,AUT,Austria,9708962.119,-261780.1047,900831.5368,11,NA,38497.07422,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,CZE,Czechia,5751462.889,947028.0259,-138589.4672,9,NA,215583.6156,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,SVK,Slovakia,2494610.41,646750.8469,-23098.24453,2,NA,30797.65938,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,RUS,Russia,44895287.96,6606097.937,1455189.406,94,NA,1516784.724,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,AUS,Australia,11410532.8,739143.8251,454265.4758,32,NA,292577.7641,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,NZL,New Zealand,354173.0828,-69294.7336,NA,1,NA,NA,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,ISR,Israel,NA,-323375.4235,NA,3,NA,NA,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,CHN,China,871165691.4,139921466,34708962.12,2044,NA,27194333.23,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,HKG,Hong Kong,15360332.61,-269479.5196,146288.882,13,NA,-15398.82969,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,KOR,South Korea,159878349.2,16792423.78,3880505.082,173,NA,4442562.365,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,TWN,Taiwan,76824761.32,4057591.623,1655374.192,92,NA,1709270.095,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,SGP,Singapore,10663689.56,800739.1438,100092.393,25,NA,84693.56329,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,IDN,Indonesia,20819217.74,3095164.767,515860.7946,302,NA,870033.8774,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,THA,Thailand,71512165.08,8885124.731,1863258.392,165,NA,1793963.659,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,MYS,Malaysia,13242993.53,692947.336,277178.9344,41,NA,254080.6899,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,PHL,Philippines,9177702.495,1709270.095,469664.3055,105,NA,669849.0915,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,IND,India,54789036.03,2610101.632,1170311.056,558,NA,492762.55,NA,NA,NA,NA,EUR
EISAI,2021,Biomedical,JPN,Japan,VNM,Viet Nam,0,-877733.2923,NA,12,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,SAU,Saudi Arabia,NA,NA,6400,NA,17200,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,ARG,Argentina,2767700,-389100,100,NA,2099600,NA,2728500,39200,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,CHL,Chile,18815700,-1050900,19100,NA,4801000,19400,18069300,746400,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,CHN,China,8183300,303700,38500,NA,22900,-75400,95500,8087800,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,COL,Colombia,5407900,-361600,11700,NA,528800,90200,5379500,28400,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,ECU,Ecuador,1467900,-196000,NA,NA,420500,NA,1462900,5000,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,ESP,Spain,12906904600,224960900,NA,NA,7659779400,-15835400,11921892200,985012400,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,FRA,France,2124600,-241700,NA,NA,18100,NA,2124600,0,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,GRC,Greece,5183000,262100,NA,NA,1596100,NA,5183000,0,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,HKG,Hong Kong,2334600,26500,-3400,NA,128900,-3400,29700,2304900,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,ITA,Italy,422900,-111700,2500,NA,6300,-1800,422900,0,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,MEX,Mexico,135182900,5964900,1236500,NA,46103400,-12300,134124700,1058200,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,PAN,Panama,1916900,-696100,NA,NA,1386700,-345100,1904200,12700,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,PER,Peru,5454400,-139300,8300,NA,628100,-168200,5437500,16900,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,POL,Poland,NA,-1826600,NA,NA,1443400,NA,2031700,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,PRT,Portugal,519060800,25801800,-4754500,NA,314680000,80800,514410200,4650600,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,DOM,Dominican Republic,423600,-117100,700,NA,198300,NA,422600,1000,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,GBR,United Kingdom,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,RUS,Russia,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,USA,United States of America,4893900,99300,800,NA,2065700,-1700,3205500,1688400,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,URY,Uruguay,632900,-32000,2700,NA,408800,-2700,591900,41000,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,DEU,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,BGD,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,IND,India,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,LUX,Luxembourg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,MLT,Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,MAR,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,ROU,Romania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,SWE,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EL CORTE INGLÉS,2021,Retail,ESP,Spain,TUR,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,ARG,Argentina,353462616,-6234459.814,NA,3732,NA,4109613.027,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,BRA,Brazil,454002801.6,65916652.07,NA,3346,NA,10879880.93,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,CHL,Chile,10175621607,114303099.3,NA,40909,NA,95141831.55,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,COL,Colombia,3467809490,30033269.13,NA,5454,NA,11655576.96,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,ECU,Ecuador,435583085.3,6604797.759,NA,697,NA,1648572.929,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,USA,United States of America,2347209771,7763088.776,NA,5073,NA,-784451.0594,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,MEX,Mexico,247544212.9,14472946.94,NA,891,NA,1089126.248,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,PAN,Panama,596222202.8,-3975661.005,NA,1072,NA,875.5034145,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,PER,Peru,581139905.4,72945193.49,NA,2338,NA,7314831.028,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,URY,Uruguay,406695850.1,35454386.27,NA,1557,NA,1581159.167,NA,NA,NA,NA,EUR
EMPRESAS COPEC,2020,"Oil, Gas and Mining",CHL,Chile,OTHER,Other,508663106.3,27051304.5,NA,432,NA,8236736.123,NA,NA,NA,NA,EUR
ENAGAS,2020,"Transport, Freight & Storage",ESP,Spain,ESP,Spain,1067473709,432414874,106249783,1326,4470903288,105120952,1065044024,2429685,NA,NA,EUR
ENAGAS,2020,"Transport, Freight & Storage",ESP,Spain,MEX,Mexico,NA,-301123,35,7,453164,-247,NA,379577,NA,NA,EUR
ENAGAS,2020,"Transport, Freight & Storage",ESP,Spain,PER,Peru,NA,-398913,NA,4,626325,22270,NA,664955,NA,NA,EUR
ENAGAS,2020,"Transport, Freight & Storage",ESP,Spain,USA,United States of America,NA,-8159970,NA,NA,NA,-3164607,NA,NA,NA,NA,EUR
ENAGAS,2020,"Transport, Freight & Storage",ESP,Spain,CHL,Chile,NA,-206221,NA,1,NA,-4208,NA,NA,NA,NA,EUR
ENAGAS,2021,"Transport, Freight & Storage",ESP,Spain,ESP,Spain,990213969,343380353,66973710,1358,4472739071,96124805,989773986,439983,NA,NA,EUR
ENAGAS,2021,"Transport, Freight & Storage",ESP,Spain,MEX,Mexico,NA,-342052,NA,7,309958,-94,128500,NA,NA,NA,EUR
ENAGAS,2021,"Transport, Freight & Storage",ESP,Spain,PER,Peru,NA,-114614,6375,4,521743,-11937,830545,NA,NA,NA,EUR
ENAGAS,2021,"Transport, Freight & Storage",ESP,Spain,USA,United States of America,NA,-4517103,NA,NA,NA,2737723,NA,NA,NA,NA,EUR
ENAGAS,2021,"Transport, Freight & Storage",ESP,Spain,CHL,Chile,NA,-837803,-3465448,1,NA,-3532512,NA,NA,NA,NA,EUR
ENAV,2018,"Transport, Freight & Storage",ITA,Italy,ITA,Italy,896438107,160266413,44395215,4112,1846484865,38477872,896099080,339027,NA,NA,EUR
ENAV,2018,"Transport, Freight & Storage",ITA,Italy,MYS,Malaysia,2724101,1458622,380413,2,592198,349537,2724101,0,NA,NA,EUR
ENAV,2018,"Transport, Freight & Storage",ITA,Italy,USA,United States of America,0,63061,0,0,53473020,31393,0,0,NA,NA,EUR
ENAV,2019,"Transport, Freight & Storage",ITA,Italy,ITA,Italy,909568226,175885214,35159491,4193,1804797653,47754169,908920254,647972,NA,NA,EUR
ENAV,2019,"Transport, Freight & Storage",ITA,Italy,MYS,Malaysia,2992354,1205386,332949,2,1054258,299215,2992354,0,NA,NA,EUR
ENAV,2019,"Transport, Freight & Storage",ITA,Italy,USA,United States of America,0,-80316,0,0,54976379,-31247,0,0,NA,NA,EUR
ENAV,2020,"Transport, Freight & Storage",ITA,Italy,ITA,Italy,778683863,79011601,37195978,4145,2031761584,22226547,778224700,459163,NA,NA,EUR
ENAV,2020,"Transport, Freight & Storage",ITA,Italy,MYS,Malaysia,2690778,991945,192542,2,890751,275906,2690778,0,NA,NA,EUR
ENAV,2020,"Transport, Freight & Storage",ITA,Italy,USA,United States of America,845,-78788,0,0,54623408,0,845,0,NA,NA,EUR
ENAV,2021,"Transport, Freight & Storage",ITA,Italy,ITA,Italy,844358362,104697323,15253362,4105,2306012830,29130169,844051944,306418,NA,NA,EUR
ENAV,2021,"Transport, Freight & Storage",ITA,Italy,MYS,Malaysia,1071745,198662,97616,1,685409,58880,1071745,0,NA,NA,EUR
ENAV,2021,"Transport, Freight & Storage",ITA,Italy,USA,United States of America,0,-56006,0,0,61856054,0,0,0,NA,NA,EUR
ENDESA,2019,Utilities,ESP,Spain,ESP,Spain,18398000000,155000000,444000000,9839,20957000000,416000000,17772000000,626000000,NA,6898000000,EUR
ENDESA,2019,Utilities,ESP,Spain,PRT,Portugal,1075000000,40000000,-4000000,60,367000000,4000000,1075000000,NA,NA,-6000000,EUR
ENDESA,2019,Utilities,ESP,Spain,FRA,France,425000000,31000000,NA,44,5000000,2000000,425000000,NA,NA,3000000,EUR
ENDESA,2019,Utilities,ESP,Spain,DEU,Germany,260000000,2000000,NA,9,NA,NA,260000000,NA,NA,NA,EUR
ENDESA,2019,Utilities,ESP,Spain,NLD,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000000,EUR
ENDESA,2019,Utilities,ESP,Spain,MAR,Morocco,NA,2000000,NA,NA,NA,NA,NA,NA,NA,NA,EUR
ENDESA,2020,Utilities,ESP,Spain,ESP,Spain,15913000000,1745000000,219000000,9469,20989000000,280000000,15437000000,476000000,NA,5042000000,EUR
ENDESA,2020,Utilities,ESP,Spain,PRT,Portugal,1076000000,60000000,10000000,61,361000000,7000000,1076000000,NA,NA,33000000,EUR
ENDESA,2020,Utilities,ESP,Spain,FRA,France,280000000,-6000000,2000000,48,4000000,NA,280000000,NA,NA,26000000,EUR
ENDESA,2020,Utilities,ESP,Spain,DEU,Germany,258000000,-2000000,-2000000,9,NA,NA,258000000,NA,NA,NA,EUR
ENDESA,2020,Utilities,ESP,Spain,NLD,Netherlands,52000000,-10000000,NA,4,NA,NA,52000000,NA,NA,NA,EUR
ENDESA,2020,Utilities,ESP,Spain,MAR,Morocco,NA,1000000,NA,NA,NA,NA,NA,NA,NA,NA,EUR
ENDESA,2021,Utilities,ESP,Spain,ESP,Spain,18724000000,1918000000,336000000,9116,NA,479000000,NA,NA,NA,4272000000,EUR
ENDESA,2021,Utilities,ESP,Spain,PRT,Portugal,1289000000,22000000,10000000,74,NA,5000000,NA,NA,NA,70000000,EUR
ENDESA,2021,Utilities,ESP,Spain,FRA,France,479000000,0,-1000000,57,NA,0,NA,NA,NA,21000000,EUR
ENDESA,2021,Utilities,ESP,Spain,DEU,Germany,337000000,-19000000,1000000,8,NA,-4000000,NA,NA,NA,2000000,EUR
ENDESA,2021,Utilities,ESP,Spain,NLD,Netherlands,70000000,2000000,0,3,NA,0,NA,NA,NA,-2000000,EUR
ENDESA,2021,Utilities,ESP,Spain,MAR,Morocco,0,1000000,0,0,NA,0,NA,NA,NA,0,EUR
ENEL,2017,Utilities,ITA,Italy,ITA,Italy,58272000000,2753000000,629940000,31408,NA,NA,NA,NA,NA,NA,EUR
ENEL,2017,Utilities,ITA,Italy,BRA,Brazil,7351000000,564000000,120370000,4173,NA,NA,NA,NA,NA,NA,EUR
ENEL,2017,Utilities,ITA,Italy,CHL,Chile,3783000000,1751000000,194960000,2315,NA,NA,NA,NA,NA,NA,EUR
ENEL,2017,Utilities,ITA,Italy,COL,Colombia,2388000000,745000000,262640000,1953,NA,NA,NA,NA,NA,NA,EUR
ENEL,2017,Utilities,ITA,Italy,ARG,Argentina,1335000000,57000000,28340000,4972,NA,NA,NA,NA,NA,NA,EUR
ENEL,2017,Utilities,ITA,Italy,PER,Peru,1391000000,322000000,107830000,949,NA,NA,NA,NA,NA,NA,EUR
ENEL,2017,Utilities,ITA,Italy,RUS,Russia,1136000000,121000000,17800000,2613,NA,NA,NA,NA,NA,NA,EUR
