mnc,year,sector,upe_code,upe_name,jur_code,jur_name,total_revenues,profit_before_tax,tax_paid,employees,tangible_assets,tax_accrued,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,currency
ACERINOX,2020,Metals and Cement,ESP,Spain,AUS,Australia,NA,234000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,CHN,China,NA,4006000,796000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,HKG,Hong Kong,NA,-221000,-5000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,JPN,Japan,NA,1152000,84000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,KOR,South Korea,NA,423000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,SGP,Singapore,NA,-41000,62000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,IND,India,NA,-75000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,ARE,United Arab Emirates,NA,77000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2020,Metals and Cement,ESP,Spain,LUX,Luxembourg,NA,1016000,1000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,ESP,Spain,NA,361378000,-23608000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,USA,United States of America,NA,610362000,145688000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,ZAF,South Africa,NA,78732000,5261000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,MYS,Malaysia,NA,324000,60000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,CAN,Canada,NA,6403000,1777000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,MEX,Mexico,NA,5734000,1640000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,PRT,Portugal,NA,1208000,-13000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,FRA,France,NA,6746000,143000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,DEU,Germany,NA,28497000,2642000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,ITA,Italy,NA,2210000,358000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,GBR,United Kingdom,NA,897000,81000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,SWE,Sweden,NA,1661000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,CHE,Switzerland,NA,137000,4000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,AUT,Austria,NA,914000,225000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,POL,Poland,NA,1275000,93000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,CHL,Chile,NA,2458000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,ARG,Argentina,NA,935000,116000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,BEL,Belgium,NA,978000,517000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,RUS,Russia,NA,-65000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,TUR,Turkey,NA,1313000,102000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,BRA,Brazil,NA,28000,17000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,COL,Colombia,NA,-121000,1000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,PER,Peru,NA,17000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,AUS,Australia,NA,255000,86000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,CHN,China,NA,3365000,895000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,HKG,Hong Kong,NA,-350000,-5000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,JPN,Japan,NA,1639000,467000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,KOR,South Korea,NA,1020000,-218000,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,SGP,Singapore,NA,-240000,0,NA,NA,NA,NA,NA,NA,NA,EUR
ACERINOX,2021,Metals and Cement,ESP,Spain,IND,India,NA,-51000,0,NA,NA,NA,NA,NA,NA,NA,EUR
