company_name,Inactive,listed,Branch,OwnData,country_iso,nace_code,bvd_id,nace_section,NACE Rev. 2 main section.1,bvd_sector,revenue_eur_2025,revenue_eur_2024,revenue_eur_2023,revenue_eur_2022,revenue_eur_2021,revenue_eur_2020,employees_2024,employees_2025,employees_2023,employees_2022,employees_2021,employees_2020,consolidation_code,website,isin,legal_form,date_incorporation,guo_name,guo_bvd_id,guo_country_iso,_source,total_assets_eur_2025,total_assets_eur_2024,total_assets_eur_2023,total_assets_eur_2022,total_assets_eur_2021,total_assets_eur_2020,orbis_sources,regime_classification
SAGEMCOM TOPCO,No,No,No,No,FR,6420.0,FR917755605,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,2301595.0,1287462.0,,,,6623.0,,7258.0,,,,C2,www.sagemcom.com,,Private limited companies,2022-07-18 00:00:00,WATLING STREET CAPITAL PARTNERS LLP,GBOC369654,GB,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
KLAP B.V.,No,No,No,No,NL,6619.0,NL33002950,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,15624.633,,,,,,95.0,78.0,,C2,www.klap.com,,Private limited companies,1804,TARA TOPCO LTD,KY*B000136367,KY,bank,,,,40622.008,29002.389,,bank,CRD_IV
ADREYDIS,No,No,No,No,FR,6630.0,FR953049285,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,87806.713,0.0,,,,245.0,,242.0,,,,C2,,,Private limited companies,2023-05-25 00:00:00,ADREYDIS,FR953049285,FR,bank,,40596.928,41280.98,,,,bank,CRD_IV
KERIES B.V.,No,No,No,No,NL,6492.0,NL50372211,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,27.0,,36.0,36.0,,,C2,,,Private limited companies,2010-07-05 00:00:00,KERIES B.V.,NL50372211,NL,bank,,11988.6,11968.372,13482.648,,,bank,CRD_IV
CPI HOLDINGS PUBLIC LTD,No,Yes,No,No,CY,6619.0,CYC8306,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,,,,,,,C1,cpi.cy,,Public limited companies,1976,CPI HOLDINGS PUBLIC LTD,CYC8306,CY,bank,,1077.0,1063.0,0.0,0.0,0.0,bank,CRD_IV
BARENTZ HOLDING B.V.,No,No,No,No,NL,6420.0,NL75958619,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,2307648.0,,2507007.0,1704482.0,,2810.0,,,2267.0,2008.0,1315.0,C1,www.barentz.com,,Private limited companies,2019-09-30 00:00:00,,,,large_mne,,,,,,,large_mne,CRD_IV
KRAMP HOLDING B.V.,No,No,No,No,NL,6420.0,NL89395557,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1185903.0,1145778.0,,,,3249.0,,3248.0,,,,C1,www.kramp.com,,Private limited companies,2023-02-27 00:00:00,KRAMP HOLDING B.V.,NL89395557,NL,large_mne,,,,,,,large_mne,EU_2021_2101|CRD_IV
STICHTING DEPOSITARY REAL ESTATE GATEWAY FUND,No,No,No,No,NL,6430.0,NL34258893,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,57799.724,,,,,,,,C2,www.abnamro.nl,,Non profit organisations,2006-10-27 00:00:00,STICHTING ADMINISTRATIEKANTOOR REAL ESTATE GATEWAY FUND II,NL34262199,NL,bank,,,661617.452,727115.353,570864.496,377750.42,bank,CRD_IV
NETHERLANDS TRADING SOCIETY B.V.,No,No,No,No,NL,6612.0,NL56642172,K - Financial and insurance activities,,"Banking, Insurance & Financial Services",,,,,,,34.0,,44.0,44.0,,,C2,,,Private limited companies,2012-12-11 00:00:00,NETHERLANDS TRADING SOCIETY B.V.,NL56642172,NL,bank,,12767.307,9234.834,15006.975,,,bank,CRD_IV
EXEL,No,No,No,No,FR,6420.0,FR342252400,K - Financial and insurance activities,K - Financial and insurance activities,Business Services,,1101627.0,,,,756105.0,3825.0,,,,,3365.0,C2,a-l-e-x.fr,,Private limited companies,1987-09-18 00:00:00,BALLU FAMILY,FR*Z00441867,FR,large_mne,,,,,,,large_mne,CRD_IV
